Date,Brent,WTI,Gold,ASX50,AUDI,EPU_News_Based_Policy_Uncert_Index,OPU
1/10/2004,14.177,14.51878917,2.425807153,2.38,2.459016393,88.76465827,300.8111757
1/11/2004,-14.386,-9.200302507,5.086381732,4.23,1.76,43.54796474,242.9682421
1/12/2004,-8.493,-11.18934796,-2.795544848,2.96,-0.628930818,43.84722236,163.9346444
1/01/2005,11.688,7.789230298,-3.677235009,1.13,0.474683544,34.65775294,104.6638815
1/02/2005,2.156,2.383827678,3.029687355,2.61,1.417322835,32.41052199,126.6007517
1/03/2005,15.49,12.41325565,-1.659625857,-1.76,-0.931677019,34.38712096,161.3871275
1/04/2005,-2.324,-2.366202617,1.489608585,-2.76,0.470219436,69.64506041,213.7168879
1/05/2005,-6.428,-6.242913358,-4.114493267,3.05,-1.404056162,54.80335195,133.5141418
1/06/2005,11.079,12.13665908,4.199538035,3.96,2.056962025,28.88613045,164.1735997
1/07/2005,5.669,4.245592377,-1.167036181,2.36,-0.310077519,44.31269293,174.6210429
1/08/2005,10.644,10.14858981,1.167036181,0.55,-1.555209953,37.9139561,269.7699877
1/09/2005,-1.687,0.919264938,7.500196809,4.56,2.211690363,46.43434341,349.4988938
1/10/2005,-7.199,-5.003388374,-0.845512609,-3.9,-1.236476043,49.82825995,167.6514809
1/11/2005,-5.802,-6.748229718,5.976440671,3.74,-0.312989045,48.89610732,205.9880222
1/12/2005,2.89,1.919705602,4.697091583,3.05,-1.569858713,34.27006938,131.3002012
1/01/2006,10.238,9.740365337,9.458981362,4.07,1.116427432,38.33622187,136.6577148
1/02/2006,-4.514,-6.105403777,-1.273564574,-0.29,-1.261829653,47.41277997,119.9977308
1/03/2006,3.026,2.039739873,3.824457703,3.73,-2.875399361,31.84278255,80.32809052
1/04/2006,12.41,10.25106717,11.45700973,2.94,3.453947368,37.91341822,198.2923054
1/05/2006,-0.686,1.77776139,-1.663880629,-5.29,0.476947536,60.7423514,161.3901966
1/06/2006,-1.764,0.028188866,-4.870472429,1.62,-1.582278481,50.01697171,118.7178784
1/07/2006,7.189,4.747400341,3.443530797,-1.99,2.733118971,48.19217083,108.3526415
1/08/2006,-0.599,-1.844620321,-1.217632446,2.83,-0.312989045,66.88137542,261.8485634
1/09/2006,-16.712,-13.42943706,-4.669473788,0.36,-1.726844584,40.89327396,162.66834
1/10/2006,-6.933,-8.134829315,1.377729486,4.52,2.236421725,43.56473612,184.8113028
1/11/2006,1.63,0.828757386,6.648395693,1.19,0.78125,51.6624196,159.2080661
1/12/2006,6.123,4.38290907,-1.789791765,3.24,0.620155039,39.22259614,179.9727642
1/01/2007,-15.165,-12.81338578,2.542772657,2.01,-1.694915254,25.66197288,167.6932902
1/02/2007,6.979,8.245026095,2.531972164,0.82,1.253918495,37.19546429,143.9178863
1/03/2007,7.511,2.170006698,-0.952352442,2.7,2.012383901,28.17454107,134.529083
1/04/2007,8.404,5.477961433,2.183639322,2.71,1.669195751,28.87294788,54.54014666
1/05/2007,-0.416,-0.800443731,-2.583775751,1.62,0,37.89541626,104.0638284
1/06/2007,5.556,6.142147152,-1.72444377,-0.22,2.835820896,32.2055192,112.5117731
1/07/2007,7.951,9.466331438,2.109509744,-2.03,-0.145137881,27.20906147,104.4971607
1/08/2007,-8.36,-2.442640376,1.421647587,2.61,-3.779069767,80.25346691,73.12212721
1/09/2007,8.672,9.908308333,10.04301048,5.26,5.740181269,75.56383572,125.9319065
1/10/2007,6.485,7.551892603,6.767497616,2.66,3.142857143,81.7391446,127.4516674
1/11/2007,11.538,9.319869253,-1.684543665,-3.39,-4.570637119,87.97126383,138.9467751
1/12/2007,-1.615,-3.101939068,6.274869709,-3.26,-0.290275762,97.61189849,116.8602754
1/01/2008,1.365,1.321223465,10.47101123,-10.38,-0.58224163,141.8565549,142.1109234
1/02/2008,3.003,2.549261788,4.938572648,-2.54,5.124450952,118.6484649,65.16988582
1/03/2008,8.715,10.17251796,-6.016070961,-3.22,-4.038997214,115.1673369,142.2051116
1/04/2008,5.107,6.429573873,-5.010423019,5.27,2.612481858,88.42574356,161.2418415
1/05/2008,11.857,10.78536298,1.814766646,0.96,2.97029703,140.9751911,202.4469935
1/06/2008,7.467,6.58883952,4.216960339,-7.28,0.824175824,102.8625322,367.7315075
1/07/2008,0.302,-0.366533679,-1.223539558,-4.73,-1.634877384,113.392698,360.3197083
1/08/2008,-15.873,-13.48169051,-9.52773522,3.17,-6.232686981,134.681548,272.5148507
1/09/2008,-15.243,-11.54061354,4.834299081,-9.87,-6.35155096,206.1180109,277.2179635
1/10/2008,-30.626,-30.41792928,-18.44914648,-10.23,-13.72239748,290.9918181,227.7341525
1/11/2008,-31.096,-28.85086806,12.00102848,-6.53,-0.182815356,186.3618294,270.2787701
1/12/2008,-27.223,-33.66811721,7.389825161,-1.19,1.831501832,185.8547972,255.7171621
1/01/2009,8.375,1.7400149,5.261314556,-4.5,-4.316546763,101.0572362,223.7500896
1/02/2009,-0.277,-6.380408399,1.858134512,-5.07,3.007518797,196.2843198,127.1123556
1/03/2009,7.17,20.31284397,-2.898286909,7.17,4.744525547,118.3162213,125.2054919
1/04/2009,7.53,3.702990324,-3.507965045,4.69,4.006968641,90.13869282,104.8763052
1/05/2009,13.268,17.24314772,10.02714462,0.37,6.030150754,130.0363911,88.31690785
1/06/2009,18.014,16.36676947,-5.576083149,3.65,2.211690363,75.50700004,138.3431448
1/07/2009,-6.27,-8.362498703,2.965778593,6.88,1.545595054,78.22362963,169.3165302
1/08/2009,11.799,10.32362451,-0.377774729,5.46,0.913242009,125.6479829,125.5873348
1/09/2009,-6.938,-2.277354328,5.775400647,6.11,2.865761689,79.19646109,70.97968298
1/10/2009,7.296,8.761106277,3.625068075,-1.99,3.66568915,78.03509649,43.67172578
1/11/2009,5.208,2.937183202,12.06181999,1.37,-1.131541726,99.87322925,55.05179636
1/12/2009,-2.912,-4.962299038,-7.268973337,3.3,-0.286123033,96.43460506,79.2668012
1/01/2010,2.271,5.14144176,-1.34544562,-5.9,-0.717360115,86.40165499,183.4280776
1/02/2010,-3.229,-2.328092731,3.180359487,1.78,0.433526012,104.7798737,66.00163338
1/03/2010,6.661,6.116329469,-0.242120012,5.07,3.165467626,113.4223299,76.11002968
1/04/2010,7.324,3.910708325,5.710105101,-1.66,1.115760112,92.62320648,77.47362723
1/05/2010,-11.046,-13.46142298,3.086082282,-7.96,-6.896551724,279.4252734,78.2613636
1/06/2010,-1.579,2.024333488,2.126528135,-2.59,-0.296296296,223.9513097,110.3359517
1/07/2010,1.091,1.344602383,-5.072788773,4.36,3.120356612,184.5775508,77.48692076
1/08/2010,1.913,0.587507402,5.498492227,-2.45,-0.576368876,205.1326591,53.45426842
1/09/2010,1.033,-1.98520948,4.838360307,3.75,5.652173913,155.9339141,102.9925248
1/10/2010,6.02,8.388606275,3.750837768,1.65,-0.274348422,112.9947657,25.20957845
1/11/2010,3.108,2.69830873,1.843806788,-1.98,0.412654746,136.4268619,62.25618128
1/12/2010,6.985,5.66036288,2.608564685,3.02,3.835616438,89.53490189,69.5525512
1/01/2011,5.396,0.425866384,-6.485327279,0.62,-2.374670185,84.43441179,121.3109036
1/02/2011,7.194,0.178770997,5.79350284,1.66,2.027027027,75.66768361,142.8017949
1/03/2011,10.01,13.90142134,1.431283555,0.34,1.059602649,114.8180921,293.7959659
1/04/2011,7.25,6.669764183,8.919706856,0.18,3.407601573,63.93616248,163.3792319
1/05/2011,-6.945,-8.24614186,-1.951076902,-2.8,-1.394169835,117.6418769,292.3871616
1/06/2011,-1.014,-5.101804621,-2.322659552,-1.8,0,152.5920231,91.10660675
1/07/2011,2.721,0.930335426,8.098476507,-4.77,0.771208226,229.3968401,140.9955555
1/08/2011,-5.944,-11.84906633,11.44056989,-2.63,-2.423469388,337.043863,135.7265134
1/09/2011,2.34,-0.837506349,-11.61839475,-5.86,-5.359477124,200.5741916,110.0959552
1/10/2011,-2.95,0.93013111,5.482055359,6.87,6.215469613,200.2594763,109.1892095
1/11/2011,1.107,11.7770177,1.759677876,-4.06,-2.990897269,287.1683602,117.8206864
1/12/2011,-2.653,1.389336884,-10.97171818,-1.14,1.608579088,218.7468548,90.87564512
1/01/2012,2.581,1.680035491,10.61190338,4.72,2.770448549,140.2663578,63.55673275
1/02/2012,7.516,1.985348434,-2.575674538,0.14,1.668806162,227.5104227,123.912604
1/03/2012,5.001,3.780914749,-1.56360012,1.13,-2.904040404,134.020196,207.6834568
1/04/2012,-4.65,-2.730219219,-0.272406161,1.68,0.130039012,127.2156507,188.6440841
1/05/2012,-8.184,-8.721375003,-6.430622659,-7.1,-4.415584416,244.4898588,190.5302773
1/06/2012,-14.801,-13.90072114,2.399380764,1.42,3.940217391,236.638018,117.5107662
1/07/2012,7.547,6.483425462,0.952536385,5.03,3.137254902,162.6157595,56.26667023
1/08/2012,9.954,6.845441956,4.675516083,1.11,-2.408111534,110.6384636,83.91448365
1/09/2012,-0.442,0.592970818,4.62598038,1.49,-0.12987013,126.6968177,64.19338789
1/10/2012,-1.024,-5.590472865,-2.902456754,2.96,-0.520156047,178.720579,64.69323323
1/11/2012,-2.401,-3.302802618,-0.358084198,-0.27,0.91503268,115.9304336,69.60252193
1/12/2012,0.394,1.81812795,-2.36441074,3.24,-0.129533679,193.3574327,55.70582727
1/01/2013,3.12,7.043470218,-0.680187081,4.91,0.778210117,110.672325,55.21797172
1/02/2013,2.699,0.663125424,-5.13442502,5.08,-0.386100386,98.20168079,65.59718871
1/03/2013,-6.755,-2.410266914,1.033407288,-2.74,2.196382429,81.99257428,158.9079155
1/04/2013,-5.905,-1.058782579,-7.7864862,5.5,-0.884955752,106.7886309,103.6872056
1/05/2013,0.303,2.922025196,-6.303168822,-5.43,-5.612244898,161.5003684,68.29009826
1/06/2013,0.35,1.049327572,-11.71466975,-1.93,-3.513513514,117.8675903,75.16337702
1/07/2013,4.753,8.797646438,6.995256135,5.19,-2.801120448,179.2459984,107.8862896
1/08/2013,3.057,1.856289688,5.387259336,1.46,-0.288184438,192.5097539,24.72759102
1/09/2013,0.287,-0.263083869,-5.051337709,1.51,2.89017341,125.5666394,49.89255287
1/10/2013,-2.284,-5.561554928,-0.283005174,4.24,1.264044944,108.5857547,78.16861002
1/11/2013,-1.19,-6.87513479,-5.53112024,-1.72,-3.19001387,74.09328393,43.08389525
1/12/2013,2.718,3.938051287,-3.830451225,0.29,-1.289398281,115.9981343,54.87104561
1/01/2014,-2.412,-3.131595303,3.125088367,-3.02,-1.741654572,77.63706238,37.95728571
1/02/2014,0.719,6.346787845,6.432785134,3.78,1.772525849,68.17382531,49.67872622
1/03/2014,-1.313,-0.019839302,-3.230871606,-0.13,3.047895501,82.71459692,98.93237778
1/04/2014,0.26,1.252049678,0.594192658,1.95,0.563380282,37.09054283,27.91156533
1/05/2014,1.638,0.107711149,-3.194631969,-0.03,0.140056022,82.85413365,36.04846542
1/06/2014,2.042,3.47200331,5.936852619,-1.76,0.699300699,67.34064293,89.2121985
1/07/2014,-4.603,-2.101519693,-3.457236636,4.35,-0.694444444,77.25982621,66.56760182
1/08/2014,-4.954,-7.048336984,0.387675835,-0.35,0.559440559,95.73200728,65.12817227
1/09/2014,-4.55,-3.510241816,-6.278982245,-5.81,-4.172461752,88.75442898,53.59971745
1/10/2014,-10.48,-9.928761047,-2.922991876,4.73,0.725689405,88.32338074,119.508804
1/11/2014,-9.584,-10.76010438,-0.587794735,-4.19,-1.729106628,65.17246327,120.5871502
1/12/2014,-24.24,-24.55257001,1.404776801,1.77,-2.492668622,91.33516953,364.2255105
1/01/2015,-26.641,-22.76231261,8.052679219,3.41,-3.909774436,108.0818333,328.9783479
1/02/2015,19.598,6.873870958,-5.631960874,6.01,0.312989045,141.4508518,196.0689757
1/03/2015,-3.878,-5.611227921,-2.458746782,-0.68,-1.248049922,53.48806302,143.0109998
1/04/2015,6.293,12.98388873,0.063372697,-1.98,3.159557662,88.4654344,118.3116012
1/05/2015,7.382,8.482042642,0.497136177,-0.74,-2.450229709,126.9096394,130.9937204
1/06/2015,-4.142,0.92367774,-1.486087596,-4.85,0.156985871,87.65711865,45.10610872
1/07/2015,-8.341,-16.14771296,-6.776273169,4.41,-3.761755486,110.4217671,121.1797461
1/08/2015,-19.542,-17.16906429,3.471979147,-9.26,-0.814332248,77.32316609,165.561718
1/09/2015,2.337,5.910038827,-1.734378869,-3.81,-1.642036125,100.214698,173.114027
1/10/2015,1.687,1.613993596,2.428551508,3.76,0.667779633,74.92292442,110.917509
1/11/2015,-8.981,-8.53212911,-7.07269235,-1.61,2.487562189,48.75554847,100.9865436
1/12/2015,-15.246,-13.20514058,-0.292715734,2.49,1.45631068,67.13679601,95.8203837
1/01/2016,-21.359,-16.0354341,5.20922889,-5.75,-1.913875598,67.03876242,302.4492682
1/02/2016,4.708,-4.387800617,10.20839751,-3.29,0.81300813,97.05064292,203.323606
1/03/2016,17.175,21.38658174,-0.470501453,4.07,3.870967742,86.0758678,129.1806562
1/04/2016,8.452,8.178246148,4.864520344,3.51,-0.931677019,87.01938025,153.448778
1/05/2016,11.698,13.65024348,-6.275458311,1.82,-3.29153605,154.5420442,168.9365958
1/06/2016,3.18,4.29520301,8.449041285,-2.86,1.296596434,206.1476579,117.2628023
1/07/2016,-7.085,-8.805599729,2.156222096,5.78,1.44,328.6758384,40.70039201
1/08/2016,1.961,0.156652152,-3.169830345,-2.66,-0.315457413,62.00628215,79.00552189
1/09/2016,1.58,1.023368219,0.56016151,0.32,1.107594937,88.08694704,23.66228972
1/10/2016,6.142,9.69587859,-2.971202875,-1.52,1.564945227,49.83544158,94.39991584
1/11/2016,-10.173,-8.639065584,-8.542403443,2.82,0.61633282,174.2979909,116.9921986
1/12/2016,17.548,12.94439879,-1.827808011,4.24,-2.143950995,166.6795759,79.0755237
1/01/2017,2.354,1.014654058,5.001105603,-0.7,2.660406886,138.9088975,61.78568878
1/02/2017,0.53,1.830757936,3.091709142,1.7,1.676829268,77.74121932,55.84616277
1/03/2017,-6.164,-8.058833371,0.008810043,2.69,-0.749625187,90.88209839,120.6312068
1/04/2017,1.386,3.446899657,1.511784241,1.03,-2.567975831,82.1544887,51.16961609
1/05/2017,-3.859,-5.185007005,0.034703874,-4.06,-1.085271318,66.11273021,76.73484948
1/06/2017,-8.195,-7.049683072,-2.143317782,-0.44,2.664576803,72.20374153,65.58099453
1/07/2017,4.45,3.158959978,2.218993547,0.23,2.748091603,95.78465451,76.21181919
1/08/2017,6.431,2.978988639,4.057453473,-0.4,-1.485884101,50.78049911,106.7423133
1/09/2017,8.257,3.638251262,-3.268641816,-0.64,-0.150829563,64.23122222,18.69828279
1/10/2017,2.393,3.471749062,-0.619536938,3.47,-1.963746224,75.12644457,50.56923963
1/11/2017,8.656,9.358144893,0.248275556,0.48,-2.003081664,86.14002707,86.75256847
1/12/2017,2.613,2.165645238,2.180301439,1.31,2.044025157,91.92299678,78.15482703
1/01/2018,7.062,9.581266081,3.192383366,-0.41,1.078582435,48.901424,62.47052902
1/02/2018,-5.597,-2.3347364,-2.031350366,-0.47,-3.048780488,67.91407532,45.68740589
1/03/2018,1.066,0.800260353,0.480002133,-4.53,-2.044025157,84.09331935,44.03312168
1/04/2018,8.824,5.459566276,-0.685881542,4.08,-0.321027287,48.2645443,100.5788293
1/05/2018,6.535,5.477402207,-1.303565899,0.27,1.127214171,75.62255914,104.2501761
1/06/2018,-3.396,-3.061537622,-3.582104984,3.43,-0.318471338,92.40487617,93.45635303
1/07/2018,-0.215,4.48040365,-2.329989152,1.63,1.437699681,107.8421229,72.29850605
1/08/2018,-2.344,-4.200847815,-1.872899324,0.14,-2.047244094,87.89072056,90.35321137
1/09/2018,8.405,3.13859011,-0.754058079,-1.88,0,81.04080927,58.01739161
1/10/2018,2.676,0.737696635,1.866353953,-5.44,-0.482315113,75.7694896,63.98951501
1/11/2018,-22.429,-21.68032694,0.635464901,-2.74,2.261712439,88.82538475,112.533176
1/12/2018,-12.119,-13.99726387,4.859996296,0.32,-4.107424961,110.4918576,143.8678414
1/01/2019,3.512,3.687236331,2.906526984,3.53,1.482701812,104.4728978,107.9155005
1/02/2019,7.38,6.717468917,-0.600027624,5.23,-1.461038961,140.2693016,128.5417163
1/03/2019,3.352,5.660219812,-1.594160983,0.45,-0.329489292,106.8322003,72.8168549
1/04/2019,7.414,9.366730832,-0.664015642,2.12,0,102.8497192,69.93432101
1/05/2019,0.126,-4.861009895,1.692074675,1.87,-0.826446281,186.1472312,47.72573076
1/06/2019,-10.486,-10.69509078,7.655660941,3.96,0.166666667,104.0103058,92.92121449
1/07/2019,-0.468,4.804066308,0.315306799,2.46,-0.998336106,87.19429572,67.97876973
1/08/2019,-7.942,-4.530018452,7.250737507,-2.81,-1.008403361,195.4483353,26.80483589
1/09/2019,6.222,3.830103084,-3.198962547,1.43,0.509337861,133.9551547,176.6250546
1/10/2019,-5.093,-5.393065855,2.757815907,-0.37,0.844594595,135.1311758,79.47729322
1/11/2019,5.696,5.533441383,-3.309607219,2.62,-1.507537688,115.6184252,64.54966895
1/12/2019,6.285,4.876511438,3.563718511,-2.57,2.551020408,130.4959589,69.84743182
1/01/2020,-5.591,-4.020984614,4.687321993,5.14,-3.648424544,100.9952993,139.0341241
1/02/2020,-13.414,-12.93676115,-0.319415622,-7.85,-1.893287435,144.9108904,85.15730122
1/03/2020,-55.321,-54.82539856,-0.867617039,-20.86,-4.035087719,311.9737192,149.6680441
1/04/2020,-55.479,-56.81250146,6.710317778,7.18,5.667276051,244.8077771,184.7942282
1/05/2020,46.905,54.56210356,2.713302643,3.03,1.730103806,202.0917568,120.6770758
1/06/2020,31.529,29.37038212,3.100930814,2.66,2.040816327,132.5039099,133.0554276
1/07/2020,7.116,6.07628038,10.3421726,0.24,3.166666667,213.6601853,64.31736989
1/08/2020,3.41,3.925850319,-0.250479286,1.11,1.13085622,196.5124134,91.93322919
1/09/2020,-8.949,-6.61458585,-4.374541573,-4.2,-3.03514377,150.9486089,50.4962604
1/10/2020,-1.776,-0.58205909,-0.398045905,1.29,-1.97693575,188.3781199,67.22701549
1/11/2020,6.035,3.834176393,-5.524295233,10.67,3.361344538,192.4013235,92.40760605
1/12/2020,15.786,13.84654629,6.506700523,0.55,3.089430894,108.1287281,23.61605341
1/01/2021,9.132,10.06706755,-2.693492031,0.69,-0.630914826,144.7079549,43.53951011
1/02/2021,12.85,12.69714617,-6.29331715,1.49,2.380952381,92.55169849,102.8875456
1/03/2021,4.903,5.422767053,-1.539341542,1.75,-0.930232558,67.00852799,79.3254432
1/04/2021,-0.922,-0.983482333,3.543931693,3.19,0.782472613,105.9230301,65.98532222
1/05/2021,5.581,5.439121285,7.501304567,2.4,-1.397515528,150.1909938,63.46567209
1/06/2021,6.538,9.101847772,-7.432911878,1.75,-1.25984252,100.7825061,118.9420484
1/07/2021,2.71,1.543090325,2.443624651,1.25,-1.754385965,80.3729662,142.8339589
1/08/2021,-6.06,-6.791940809,-0.008271276,1.36,-0.649350649,102.9896124,86.78306029
1/09/2021,5.151,5.626394105,-3.180580079,-3.03,0.980392157,126.2722821,127.8650679
1/10/2021,11.466,12.85644371,1.477649242,-0.08,2.103559871,94.79605183,239.2417342
1/11/2021,-3.026,-2.901280503,-0.507790856,-1.36,-4.595879556,106.4959795,181.6796719
1/12/2021,-8.871,-9.871457843,3.032293553,2.47,1.495016611,101.6790015,144.1328549
1/01/2022,15.39,14.88574957,-1.76121699,-5.57,-2.94599018,66.05540784,123.6328123
1/02/2022,11.579,9.638015403,6.017953246,1.6,2.192242833,96.93419744,212.2896902
1/03/2022,18.826,16.88823154,1.525595694,6.64,4.95049505,269.9468982,275.981006
1/04/2022,-11.436,-6.393655182,-2.130176565,-0.62,-0.786163522,214.496079,267.3809009
1/05/2022,8.044,7.356744488,-3.177455409,-2.49,0.158478605,170.1884771,173.1054698
1/06/2022,7.943,4.715878921,-1.657566258,-8.28,-2.215189873,97.94123222,156.7618598
1/07/2022,-9.195,-12.22994891,-2.333180687,4.72,2.103559871,94.442584,177.7480616
1/08/2022,-10.821,-8.146239894,-3.137268503,0.19,0.316957211,132.9116059,188.0665442
1/09/2022,-11.252,-10.58707107,-3.028385605,-6.69,-2.843601896,133.8139252,169.6355384
1/10/2022,3.9,3.830280218,-1.612649175,5.71,-0.325203252,277.7887554,210.4317855
1/11/2022,-2.068,-3.699817055,7.961116104,6.42,1.305057096,143.309678,87.21209644
1/12/2022,-12.2,-9.870576881,3.114770914,-3.16,-1.127214171,174.2819743,164.0650608
1/01/2023,1.934,2.173998664,5.516978773,6.3,1.628664495,115.3589442,108.7971482
1/02/2023,0.109,-1.665091713,-5.366357776,-2.78,-1.602564103,206.1735174,155.2634802
1/03/2023,-5.168,-4.730746851,7.42096085,-0.86,-1.791530945,190.028779,109.070876
1/04/2023,7.62,8.084017262,1.099175954,1.47,-0.829187396,194.6592767,150.4208882
1/05/2023,-11.467,-10.43121876,-1.384148922,-3.35,0,148.2975985,64.43028719
1/06/2023,-0.838,-1.875539712,-2.201605203,1.91,3.177257525,113.8924801,77.11199445
1/07/2023,6.805,7.95936608,2.297874397,2.57,-0.648298217,149.328944,27.48357118
